event_name,event_type
Prelim Nonfarm Productivity q/q,Inflation
Prelim Unit Labor Costs q/q,Inflation
PPI q/q,Inflation
CPI m/m,Inflation
Average Hourly Earnings m/m,Inflation
MI Inflation Gauge m/m,Inflation
ANZ Commodity Prices m/m,Inflation
PPI m/m,Inflation
Average Cash Earnings y/y,Inflation
GDT Price Index,Inflation
Labor Cost Index q/q,Inflation
CPI y/y,Inflation
PPI y/y,Inflation
German Final CPI m/m,Inflation
German WPI m/m,Inflation
Wage Price Index q/q,Inflation
Average Earnings Index 3m/y,Inflation
Core PPI m/m,Inflation
Core CPI y/y,Inflation
PPI Input m/m,Inflation
PPI Output m/m,Inflation
RPI y/y,Inflation
French Final CPI m/m,Inflation
Core CPI m/m,Inflation
FPI m/m,Inflation
Prelim GDP Price Index y/y,Inflation
Import Prices m/m,Inflation
Capacity Utilization Rate,Inflation
PPI Input q/q,Inflation
PPI Output q/q,Inflation
German PPI m/m,Inflation
Final Core CPI y/y,Inflation
Final CPI y/y,Inflation
Median CPI y/y,Inflation
Trimmed CPI y/y,Inflation
Common CPI y/y,Inflation
IPPI m/m,Inflation
RMPI m/m,Inflation
National Core CPI y/y,Inflation
BRC Shop Price Index y/y,Inflation
SPPI y/y,Inflation
BOJ Core CPI y/y,Inflation
German Prelim CPI m/m,Inflation
Spanish Flash CPI y/y,Inflation
Prelim GDP Price Index q/q,Inflation
Tokyo Core CPI y/y,Inflation
German Import Prices m/m,Inflation
French Prelim CPI m/m,Inflation
CPI Flash Estimate y/y,Inflation
Core CPI Flash Estimate y/y,Inflation
Italian Prelim CPI m/m,Inflation
Core PCE Price Index m/m,Inflation
Overseas Trade Index q/q,Inflation
Labor Productivity q/q,Inflation
Revised Nonfarm Productivity q/q,Inflation
Revised Unit Labor Costs q/q,Inflation
Final GDP Price Index y/y,Inflation
Final GDP Price Index q/q,Inflation
CPI q/q,Inflation
Trimmed Mean CPI q/q,Inflation
Advance GDP Price Index q/q,Inflation
Import Prices q/q,Inflation
Employment Cost Index q/q,Inflation
Bank Holiday,Misc
OPEC-JMMC Meetings,Misc
Natural Gas Storage,Misc
API Weekly Statistical Bulletin,Misc
Crude Oil Inventories,Misc
NBS Press Conference,Misc
French Bank Holiday,Misc
Italian Bank Holiday,Misc
ECOFIN Meetings,Misc
Eurogroup Meetings,Misc
Daylight Saving Time Shift,Misc
German Bank Holiday,Misc
IMF Meetings,Misc
BRICS Summit,Misc
Lower House Elections,Misc
Presidential Election,Misc
Congressional Elections,Misc
G20 Meetings,Misc
Bank Stress Test Results,Misc
OPEC Meetings,Misc
G7 Meetings,Misc
WEF Annual Meetings,Misc
Greek Presidential Elections,Misc
German Federal Elections,Misc
Euro Summit,Misc
Federal Election,Misc
Parliamentary Elections,Misc
Upper House Elections,Misc
BOE Gov Bailey Speaks,Speeches
MPC Member Pill Speaks,Speeches
FOMC Member Goolsbee Speaks,Speeches
FOMC Member Daly Speaks,Speeches
RBA Assist Gov Hunter Speaks,Speeches
RBA Gov Bullock Speaks,Speeches
FOMC Member Barkin Speaks,Speeches
RBA Deputy Gov Hauser Speaks,Speeches
FOMC Member Bostic Speaks,Speeches
RBNZ Gov Orr Speaks,Speeches
FOMC Member Musalem Speaks,Speeches
FOMC Member Harker Speaks,Speeches
FOMC Member Waller Speaks,Speeches
SNB Chairman Jordan Speaks,Speeches
FOMC Member Barr Speaks,Speeches
FOMC Member Collins Speaks,Speeches
BOJ Gov Ueda Speaks,Speeches
Fed Chair Powell Speaks,Speeches
German Buba President Nagel Speaks,Speeches
MPC Member Mann Speaks,Speeches
FOMC Member Williams Speaks,Speeches
MPC Member Breeden Speaks,Speeches
BOC Gov Macklem Speaks,Speeches
FOMC Member Bowman Speaks,Speeches
FOMC Member Logan Speaks,Speeches
Gov Council Member Rogers Speaks,Speeches
Gov Council Member Vincent Speaks,Speeches
ECB President Lagarde Speaks,Speeches
FOMC Member Kashkari Speaks,Speeches
MPC Member Greene Speaks,Speeches
FOMC Member Kugler Speaks,Speeches
FOMC Member Cook Speaks,Speeches
Treasury Sec Yellen Speaks,Speeches
SNB Chairman Schlegel Speaks,Speeches
FOMC Member Hammack Speaks,Speeches
FOMC Member Schmid Speaks,Speeches
FOMC Member Jefferson Speaks,Speeches
RBA Assist Gov Kent Speaks,Speeches
Gov Board Member Martin Speaks,Speeches
MPC Member Dhingra Speaks,Speeches
Gov Council Member Kozicki Speaks,Speeches
Gov Council Member Gravelle Speaks,Speeches
MPC Member Ramsden Speaks,Speeches
Gov Board Member Tschudin Speaks,Speeches
MPC Member Lombardelli Speaks,Speeches
Gov Council Member Mendes Speaks,Speeches
President Biden Speaks,Speeches
MPC Member Taylor Speaks,Speeches
President Trump Speaks,Speeches
Fed Chair Powell Testifies,Speeches
RBNZ Gov Hawkesby Speaks,Speeches
